位置,身高,体重,年龄,球龄,上场次数,场均时间,进攻能力,防守能力,是否入选全明星
1,1.88,86,25,1,81,26.33,13.453,3,0
5,2.13,113,25,0,22,7.42,2.362,1,0
5,2.13,120,28,8,71,19.98,8.282,4,0
2,1.96,83,25,1,27,16.53,7.671,2,0
4,2.06,113,25,1,29,7.55,2.168,1,0
5,2.11,100,26,2,70,14.0,7.36,2,0
4,2.03,102,24,2,66,31.02,16.546,4,0
3,2.01,100,28,6,65,25.5,12.174,3,0
5,2.11,104,32,9,46,22.05,10.279,5,1
5,2.16,111,29,9,54,14.75,7.74,2,0
1,1.85,77,28,7,81,22.23,11.997,2,0
4,2.06,104,24,2,52,8.78,3.176,1,0
5,2.06,104,28,6,65,24.58,8.019,3,0
1,1.83,79,29,6,81,24.13,14.52,2,0
3,1.96,91,28,4,73,26.88,13.395,3,0
3,1.96,100,30,7,73,34.17,16.387,4,0
3,1.98,93,22,0,69,17.23,7.537,1,0
4,2.08,107,30,8,82,26.12,15.767,4,0
5,2.13,109,25,2,57,19.08,6.177,3,0
5,2.08,115,24,4,75,36.1,32.083,12,1
5,2.13,105,27,3,51,8.47,3.997,1,0
3,1.96,95,31,9,74,24.02,12.526,2,0
2,1.93,100,35,13,60,29.87,23.07,4,1
4,2.06,110,32,4,70,16.18,7.126,2,0
4,2.06,102,29,7,36,17.82,6.198,2,0
1,1.88,88,21,1,60,12.9,6.08,0,0
5,2.16,98,20,0,57,9.85,4.364,1,0
3,1.98,101,24,3,78,19.42,11.349,1,0
5,2.11,116,34,10,74,18.88,9.748,3,0
2,1.88,82,26,6,55,33.35,19.468,5,0
4,2.06,100,27,6,61,29.05,11.343,7,0
4,2.01,86,20,0,32,17.03,6.625,1,0
3,1.96,91,32,8,77,31.93,13.165,3,0
4,2.06,114,25,4,54,23.53,12.903,5,0
2,1.93,98,28,8,75,30.97,18.737,2,0
2,1.88,82,25,1,74,30.22,13.649,5,0
4,2.08,105,30,6,78,15.78,4.74,2,0
5,2.16,116,25,4,74,16.5,6.379,2,0
2,1.96,88,26,2,22,4.88,1.495,0,0
2,1.96,94,24,4,77,34.85,26.568,3,0
3,2.01,95,32,9,60,25.93,14.147,1,0
3,1.98,98,33,12,76,26.28,10.984,4,1
5,2.06,113,30,11,80,20.1,9.25,3,0
1,1.85,79,26,2,53,9.65,5.374,0,0
1,1.75,80,22,0,42,9.18,5.331,0,0
2,1.93,91,25,4,74,27.75,14.767,1,0
